역이름,역지역,위도,경도
태평,수도권,37.43977839,127.127734
모란,수도권,37.43402749,127.1299614
야탑,수도권,37.41135924,127.1287249
서현,수도권,37.38500102,127.1234179
수내,수도권,37.37846877,127.1142843
정자,수도권,37.3661666,127.1080794
미금,수도권,37.3500734,127.1090044
이매,수도권,37.39470993,127.1272961
구성,수도권,37.29896985,127.1056823
신갈,수도권,37.28613395,127.1112802
상갈,수도권,37.26180824,127.1087192
청명,수도권,37.25952516,127.0789555
영통,수도권,37.2514927,127.0713274
망포,수도권,37.24582396,127.0568503
매탄권선,수도권,37.2524983,127.0408041
수원시청,수도권,37.2619082,127.0308437
매교,수도권,37.26551532,127.0158961
달월,수도권,37.38001592,126.74539
월곶,수도권,37.3918135,126.7427076
소래포구,수도권,37.4009294,126.7334831
인천논현,수도권,37.40065197,126.7225515
호구포,수도권,37.40162775,126.7086787
남동인더스파크,수도권,37.40773874,126.695214
원인재,수도권,37.41236884,126.6878756
보정,수도권,37.31277133,127.1083188
연수,수도권,37.41791267,126.6787475
송도,수도권,37.42995442,126.6546757
인하대,수도권,37.44832057,126.6497545
숭의,수도권,37.46079235,126.6383933
방학,수도권,37.66743116,127.0443172
도봉,수도권,37.67919749,127.0455258
도봉산,수도권,37.68955853,127.0460537
망월사,수도권,37.71020835,127.0474047
회룡,수도권,37.72379508,127.0472772
의정부,수도권,37.73835529,127.0459477
가능,수도권,37.74839272,127.0442746
녹양,수도권,37.75938526,127.0422612
양주,수도권,37.77412414,127.0447213
덕계,수도권,37.81875259,127.0566735
덕정,수도권,37.84318405,127.0615548
지행,수도권,37.89187431,127.0556609
동두천중앙,수도권,37.90176632,127.0564187
보산,수도권,37.91414493,127.057156
동두천,수도권,37.92760607,127.0549143
원당,수도권,37.65309939,126.8429139
대곡,수도권,37.63168113,126.810921
백석,수도권,37.64295874,126.7881179
마두,수도권,37.65223751,126.7775981
정발산,수도권,37.65947341,126.773406
주엽,수도권,37.67013504,126.7612454
대화,수도권,37.67614293,126.7474874
방화,수도권,37.57758875,126.8128012
개화산,수도권,37.57253355,126.8068143
김포공항,수도권,37.56194774,126.8019069
송정,수도권,37.561154,126.8124123
마곡,수도권,37.56021781,126.8246834
발산,수도권,37.55866872,126.8377251
우장산,수도권,37.54880987,126.8363206
화곡,수도권,37.54164355,126.8404324
원흥,수도권,37.65068496,126.8730162
신정,수도권,37.52501318,126.8560794
목동,수도권,37.52612248,126.8646072
오목교,수도권,37.52453046,126.8752892
영등포시장,수도권,37.52270218,126.9051796
